Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,English speaking monolingual,Were you raised monolingual?,Bilingual,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65ebf9bf7780d8bd622124c5,6583e5688bc9fcd0ef1f4f12,AWAITING REVIEW,Not Applicable,2024-03-09T05:55:17.455000Z,2024-03-09T06:00:24.905000Z,,2024-03-09T06:00:25.434967Z,308.0,C1JQLVOG,48,I only know English,I was raised with my native language only,none just my native langauge,English,33,Female,Mixed,United States,United States,United States,English,No,Full-Time
65ebfaa893eda1411b1c913d,56818073c5767f00121d21c5,AWAITING REVIEW,Not Applicable,2024-03-09T05:59:13.221000Z,2024-03-09T06:03:28.128000Z,,2024-03-09T06:03:28.629189Z,255.0,NOCODE,1192,I only know English,I was raised with my native language only,none just my native langauge,English,50,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65ebfaaa637e95d2c01fda91,5eebc01d1b53c11438f3405b,AWAITING REVIEW,Not Applicable,2024-03-09T05:59:09.157000Z,2024-03-09T06:02:12.679000Z,,2024-03-09T06:02:13.086060Z,184.0,C1JQLVOG,1230,I only know English,I was raised with my native language only,none just my native langauge,English,35,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65ebfabd232fc43a4b715bd8,5b45ee3bf4390d0001be8557,AWAITING REVIEW,Not Applicable,2024-03-09T05:59:35.889000Z,2024-03-09T06:04:27.680000Z,,2024-03-09T06:04:28.068310Z,292.0,C1JQLVOG,915,I only know English,I was raised with my native language only,none just my native langauge,English,43,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
65ebfb34d55abbe87ac7621d,5794efa881f331000139cd6b,AWAITING REVIEW,Not Applicable,2024-03-09T06:01:30.387000Z,2024-03-09T06:08:05.272000Z,,2024-03-09T06:08:05.721816Z,395.0,C1JQLVOG,2233,I only know English,I was raised with my native language only,none just my native langauge,English,52,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65ebfb36ac7ba081eb89ccee,59baa4f5178f1b00018289b2,AWAITING REVIEW,Not Applicable,2024-03-09T06:01:33.260000Z,2024-03-09T06:06:22.388000Z,,2024-03-09T06:06:22.854609Z,290.0,C1JQLVOG,2262,I know one other language in addition to English,I was raised with my native language only,none just my native langauge,"English, Spanish",58,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
65ebfb5da6328372037a5043,65e91b774c7424fa062e6a78,AWAITING REVIEW,Not Applicable,2024-03-09T06:02:11.305000Z,2024-03-09T06:07:35.289000Z,,2024-03-09T06:07:35.869821Z,324.0,C1JQLVOG,3,I know one other language in addition to English,I was raised with my native language only,none just my native langauge,English,25,Female,White,United States,United States,United States,English,Yes,Unemployed (and job seeking)
65ebfb62701f04e9cfff65a0,6543066cff6d7afed2784928,AWAITING REVIEW,Not Applicable,2024-03-09T06:02:20.084000Z,2024-03-09T06:10:33.064000Z,,2024-03-09T06:10:33.613715Z,493.0,C1JQLVOG,140,I know one other language in addition to English,I was raised with my native language only,native language + one other language,English,48,Female,White,United States,United States,United States,English,No,Full-Time
65ebfb93e73ea3a47721f176,6110f9fd3a01425bd66a1251,AWAITING REVIEW,Not Applicable,2024-03-09T06:03:03.322000Z,2024-03-09T06:10:53.027000Z,,2024-03-09T06:10:53.465693Z,470.0,C1JQLVOG,1346,I only know English,I was raised with my native language only,none just my native langauge,English,36,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65ebfbaeeae2083a56a73284,63d3fb12ac52371a49e65860,AWAITING REVIEW,Not Applicable,2024-03-09T06:03:46.143000Z,2024-03-09T06:08:15.951000Z,,2024-03-09T06:08:16.356008Z,270.0,C1JQLVOG,301,I know one other language in addition to English,I was raised with two or more languages,native language + one other language,"Urdu, English",26,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
